year,DESNZ_EEP_2024_excl_IAS_MtCO2e,DESNZ_EEP_2024_inc_IAS_MtCO2e,DESNZ_EEP_2023_excl_IAS_MtCO2e
1990,810.709255012242,834.356590479365,812.417475354605
1991,819.232835965868,842.456647743761,820.711122456219
1992,797.97541675564,823.042893431072,799.524823104567
1993,778.360752029278,804.435460355682,779.921925640309
1994,765.820753611057,792.157660272504,767.321706186234
1995,759.200161760264,787.218444791921,761.161634305073
1996,779.071811500093,808.891923283265,780.6758893645
1997,754.348439372073,786.47143153029,755.839063761658
1998,752.428843510785,787.53222450171,753.335517180344
1999,724.319757328424,759.195275715284,724.472435492065
2000,724.257464453897,761.172934035596,724.346489465351
2001,726.755864661624,763.550794034655,727.120772185503
2002,705.612849652062,740.719362643962,705.20111165918
2003,711.601901472662,746.930906955178,710.622242111867
2004,707.60547351919,746.83423123169,706.255169198705
2005,699.294547450512,741.023336227459,697.446906187812
2006,692.796653693202,735.971608345291,689.468861207502
2007,679.406078155204,722.469097040419,676.393313016271
2008,657.988301472381,703.768666657802,654.699597871462
2009,601.307348285844,645.571656510618,597.790469883629
2010,615.79060353948,658.019591295758,611.566649121462
2011,570.584923743447,613.68241437905,565.448480403851
2012,586.959104018413,628.016064411359,581.713755363003
2013,573.861966129161,615.898203069532,566.8735109903
2014,530.7190857089,572.120629104817,525.408178547319
2015,510.227946398818,551.716616891593,507.948350921584
2016,483.47136563197,526.094114882392,480.673506187799
2017,471.309792398738,516.21004666222,469.103570955332
2018,464.279466519817,508.753673346381,462.339779752123
2019,447.515616271279,490.887574309471,447.856743901524
2020,407.975238765153,429.209366703841,404.008344072112
2021,422.475570116601,442.472504000404,421.054375470811
2022,404.682267986786,439.340307408585,406.171469073629
2023,384.972556090126,424.447439900085,389.151157617512
2024,371.759487375243,414.090535568666,375.619638030184
2025,363.150082905754,405.820995243062,367.614536145481
2026,355.265423903811,397.416990031367,360.941015038256
2027,348.907854929247,390.880239750524,352.496416776973
2028,341.183234512029,382.206754528308,344.341692460301
2029,334.358922448123,375.630214182967,339.368907392164
2030,327.713982125617,367.969033106317,327.168817351934
2031,320.429867491574,360.604304620317,317.711287538452
2032,314.955861329269,354.77074071117,312.92294189771
2033,310.284565982226,349.397720465852,309.422619343873
2034,306.574221395534,345.16629831218,306.835574087451
2035,303.407283864246,341.791617002469,304.471806403875
2036,297.418389970588,335.196531395245,300.542778914618
2037,293.90633610234,330.917241585146,298.123332988111
2038,291.15243711487,327.987068330021,297.336351783959
2039,288.652384870752,325.512140100051,296.228387170081
2040,287.413756420828,323.989470167022,296.448721945459
2041,286.724428652939,323.776781126681,296.721173110273
2042,286.391613291685,323.97357566512,298.305900925698
2043,286.393949878503,323.901389448084,299.980381432596
2044,286.915035053593,324.118217849626,301.20586786025
2045,286.723568765024,323.462890301364,302.249198255434
2046,287.564608785598,323.81264938185,303.825109609747
2047,288.295980261299,323.831292585978,305.815998444714
2048,289.231830318914,324.962883302709,308.292241405172
2049,289.25697485373,323.861631639471,310.858580172148
2050,290.244906276984,324.291346256252,311.767917398961
