scenario,tes_sector,year,emissions_MtCO2e
Reference,Agriculture,1990,54.3985824961385
Reference,Agriculture,1991,54.2109974015761
Reference,Agriculture,1992,53.8501459181404
Reference,Agriculture,1993,52.9615883995599
Reference,Agriculture,1994,53.733133078343
Reference,Agriculture,1995,53.6728877296628
Reference,Agriculture,1996,55.0409098307286
Reference,Agriculture,1997,54.6237497116691
Reference,Agriculture,1998,54.2939813468889
Reference,Agriculture,1999,54.540916712647
Reference,Agriculture,2000,52.5801767156203
Reference,Agriculture,2001,50.3804222760027
Reference,Agriculture,2002,50.0717765484391
Reference,Agriculture,2003,50.5149288135195
Reference,Agriculture,2004,51.2973576711181
Reference,Agriculture,2005,51.4385984999855
Reference,Agriculture,2006,50.3863717343563
Reference,Agriculture,2007,49.9875870606817
Reference,Agriculture,2008,49.6981093209486
Reference,Agriculture,2009,49.2150761195019
Reference,Agriculture,2010,49.6272287339461
Reference,Agriculture,2011,48.8195310118092
Reference,Agriculture,2012,49.2577794183426
Reference,Agriculture,2013,49.0850161759068
Reference,Agriculture,2014,49.4343920328083
Reference,Agriculture,2015,50.6170357854804
Reference,Agriculture,2016,50.0256613841093
Reference,Agriculture,2017,49.9449226392524
Reference,Agriculture,2018,48.0992006922732
Reference,Agriculture,2019,48.6437333049381
Reference,Agriculture,2020,47.4216999744916
Reference,Agriculture,2021,48.1166146754414
Reference,Agriculture,2022,46.8561837228894
Reference,Agriculture,2023,46.6137424553026
Reference,Agriculture,2024,45.5769870262768
Reference,Agriculture,2025,45.1565653679124
Reference,Agriculture,2026,44.9806085663478
Reference,Agriculture,2027,44.8937218741866
Reference,Agriculture,2028,44.832851378615
Reference,Agriculture,2029,44.7571506999058
Reference,Agriculture,2030,44.64594711842
Reference,Agriculture,2031,44.4750103600965
Reference,Agriculture,2032,44.2652859015653
Reference,Agriculture,2033,44.0331755175468
Reference,Agriculture,2034,43.7843318545762
Reference,Agriculture,2035,43.5316394993459
Reference,Agriculture,2036,43.2370279446527
Reference,Agriculture,2037,42.9266820012853
Reference,Agriculture,2038,42.5986693918168
Reference,Agriculture,2039,42.2599898243832
Reference,Agriculture,2040,41.9239164320717
Reference,Agriculture,2041,41.6103197893948
Reference,Agriculture,2042,41.2677048344126
Reference,Agriculture,2043,40.8895954412029
Reference,Agriculture,2044,40.5191219657842
Reference,Agriculture,2045,40.1360102270673
Reference,Agriculture,2046,39.751250038094
Reference,Agriculture,2047,39.3691479315307
Reference,Agriculture,2048,38.9804387499693
Reference,Agriculture,2049,38.5909246881019
Reference,Agriculture,2050,38.2005567333275
Reference,Buildings and product uses,1990,109.753400419937
Reference,Buildings and product uses,1991,121.501395241244
Reference,Buildings and product uses,1992,118.077721654342
Reference,Buildings and product uses,1993,121.889243404326
Reference,Buildings and product uses,1994,116.956532090134
Reference,Buildings and product uses,1995,112.83028105824
Reference,Buildings and product uses,1996,126.22534224756
Reference,Buildings and product uses,1997,117.13956761586
Reference,Buildings and product uses,1998,118.80937479299
Reference,Buildings and product uses,1999,120.529083503683
Reference,Buildings and product uses,2000,120.560391921108
Reference,Buildings and product uses,2001,124.195204858628
Reference,Buildings and product uses,2002,116.673461226452
Reference,Buildings and product uses,2003,118.253579871142
Reference,Buildings and product uses,2004,121.096860221372
Reference,Buildings and product uses,2005,117.448596039984
Reference,Buildings and product uses,2006,113.070397595582
Reference,Buildings and product uses,2007,108.379321310014
Reference,Buildings and product uses,2008,113.319903114273
Reference,Buildings and product uses,2009,106.911436682378
Reference,Buildings and product uses,2010,117.862868973587
Reference,Buildings and product uses,2011,97.8183827419463
Reference,Buildings and product uses,2012,107.560728696641
Reference,Buildings and product uses,2013,108.813382847286
Reference,Buildings and product uses,2014,93.3869508430082
Reference,Buildings and product uses,2015,95.5636998686244
Reference,Buildings and product uses,2016,96.252723008019
Reference,Buildings and product uses,2017,93.7740071174689
Reference,Buildings and product uses,2018,97.9310912198727
Reference,Buildings and product uses,2019,94.1027159067678
Reference,Buildings and product uses,2020,93.7043511201761
Reference,Buildings and product uses,2021,98.2009567177289
Reference,Buildings and product uses,2022,83.4998821959421
Reference,Buildings and product uses,2023,78.4758175684127
Reference,Buildings and product uses,2024,81.0366508749843
Reference,Buildings and product uses,2025,83.8432888471939
Reference,Buildings and product uses,2026,83.4150637862135
Reference,Buildings and product uses,2027,83.0472211287735
Reference,Buildings and product uses,2028,82.5777958009562
Reference,Buildings and product uses,2029,82.4781322300465
Reference,Buildings and product uses,2030,82.162375325639
Reference,Buildings and product uses,2031,82.0065641461208
Reference,Buildings and product uses,2032,81.8533010620138
Reference,Buildings and product uses,2033,81.7710441913405
Reference,Buildings and product uses,2034,81.7182027556359
Reference,Buildings and product uses,2035,81.7199740582081
Reference,Buildings and product uses,2036,82.1150292321099
Reference,Buildings and product uses,2037,82.1996968389523
Reference,Buildings and product uses,2038,82.4048635800097
Reference,Buildings and product uses,2039,82.6267667069753
Reference,Buildings and product uses,2040,82.8983697778108
Reference,Buildings and product uses,2041,83.2665206327564
Reference,Buildings and product uses,2042,83.4888917971714
Reference,Buildings and product uses,2043,83.6527288125775
Reference,Buildings and product uses,2044,84.0191871386868
Reference,Buildings and product uses,2045,84.0518877171182
Reference,Buildings and product uses,2046,84.1857841739208
Reference,Buildings and product uses,2047,84.4611564113861
Reference,Buildings and product uses,2048,84.549537128311
Reference,Buildings and product uses,2049,84.5532425858907
Reference,Buildings and product uses,2050,84.5503891046146
Reference,Domestic Transport,1990,129.255008921329
Reference,Domestic Transport,1991,127.341350929008
Reference,Domestic Transport,1992,128.604022957652
Reference,Domestic Transport,1993,129.968448646168
Reference,Domestic Transport,1994,131.288194768341
Reference,Domestic Transport,1995,130.762579934411
Reference,Domestic Transport,1996,135.10728299357
Reference,Domestic Transport,1997,135.558868473256
Reference,Domestic Transport,1998,134.555568262126
Reference,Domestic Transport,1999,136.164710246383
Reference,Domestic Transport,2000,134.207452325531
Reference,Domestic Transport,2001,134.190383834563
Reference,Domestic Transport,2002,137.212811912707
Reference,Domestic Transport,2003,136.399461285428
Reference,Domestic Transport,2004,137.602934399039
Reference,Domestic Transport,2005,138.07249042306
Reference,Domestic Transport,2006,138.194411494809
Reference,Domestic Transport,2007,139.316585122946
Reference,Domestic Transport,2008,134.173854931478
Reference,Domestic Transport,2009,129.594529027686
Reference,Domestic Transport,2010,127.995398550788
Reference,Domestic Transport,2011,125.418733071082
Reference,Domestic Transport,2012,124.738392220869
Reference,Domestic Transport,2013,122.983911101121
Reference,Domestic Transport,2014,124.839308088699
Reference,Domestic Transport,2015,125.327875756466
Reference,Domestic Transport,2016,128.809311586727
Reference,Domestic Transport,2017,129.490134384352
Reference,Domestic Transport,2018,128.116043548755
Reference,Domestic Transport,2019,124.718631912824
Reference,Domestic Transport,2020,103.492830901842
Reference,Domestic Transport,2021,111.933277388314
Reference,Domestic Transport,2022,113.088764483098
Reference,Domestic Transport,2023,111.814687715586
Reference,Domestic Transport,2024,112.469374875517
Reference,Domestic Transport,2025,116.525912843926
Reference,Domestic Transport,2026,113.683673065113
Reference,Domestic Transport,2027,110.627496929593
Reference,Domestic Transport,2028,106.21291998934
Reference,Domestic Transport,2029,100.94196396916
Reference,Domestic Transport,2030,94.662372105314
Reference,Domestic Transport,2031,88.9014516453192
Reference,Domestic Transport,2032,83.5641544146144
Reference,Domestic Transport,2033,78.9416291224815
Reference,Domestic Transport,2034,74.810722602423
Reference,Domestic Transport,2035,71.1945407765974
Reference,Domestic Transport,2036,67.9132790998794
Reference,Domestic Transport,2037,64.9690484650686
Reference,Domestic Transport,2038,62.3753462139582
Reference,Domestic Transport,2039,60.1740093409963
Reference,Domestic Transport,2040,58.176593794626
Reference,Domestic Transport,2041,56.5125288468301
Reference,Domestic Transport,2042,55.048075444871
Reference,Domestic Transport,2043,53.8943771096184
Reference,Domestic Transport,2044,52.8858751009717
