scenario,country,variable,variable_unit,year,emissions_MtCO2e
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2020,497.1129272758869
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2021,498.6480283768091
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2022,491.97537339286316
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2023,478.54381941311004
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2024,464.34454243000914
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2025,445.2689317758328
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2026,416.4312430033135
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2027,391.0138250787499
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2028,368.4360238075496
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2029,343.2683355721672
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2030,316.26736214449346
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2031,293.4250826834244
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2032,264.55936440934164
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2033,238.5394298006782
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2034,215.45213414594298
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2035,190.91077096666586
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2036,170.2866103694159
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2037,152.36117489125064
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2038,137.34291380855367
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2039,122.92409594852906
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2040,104.51950804482072
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2041,87.5263318261427
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2042,73.58614902876437
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2043,61.18249301915562
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2044,48.62473898251787
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2045,37.76635003568504
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2046,27.94849322299177
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2047,18.982326418522433
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2048,12.09830557069192
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2049,6.33165110107165
Balanced Net Zero Pathway,United Kingdom,Scenario emissions: Total emissions,MtCO2e,2050,-0.9724465966541516
