scenario,country,variable,variable_unit,year,emissions_MtCO2e
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2025,413.919333154645
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2026,395.9959561225685
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2027,376.8885176622839
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2028,355.0120163752691
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2029,326.8596745321047
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2030,295.7570712510952
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2031,271.0543329351466
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2032,249.0409661378411
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2033,228.397777787064
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2034,208.1529792247452
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2035,186.9963045053786
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2036,169.3378795419154
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2037,151.337953641102
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2038,135.1187452743434
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2039,121.7740553760484
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2040,107.7030147447584
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2041,91.28688604258056
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2042,77.28337835573727
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2043,65.28708323750712
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2044,54.07107784759916
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2045,42.46753913554234
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2046,33.33026586671969
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2047,24.57636949195876
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2048,16.08758731806194
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2049,7.895034105719957
Balanced Pathway,United Kingdom,Emissions: direct emissions total,MtCO2e,2050,-1.107090125854042
