IPCC Code,IPCC Source Name,IPCC Activity Name,National comunication sector,CCC sector,CCC subsector
1A1aiii,Heat supply,Gas oil,Energy Supply,Industry,Industry
1A1aiii,Heat supply,Landfill gas,Energy Supply,Industry,Industry
1A1aiii,Heat supply,Sewage gas,Energy Supply,Industry,Industry
1A1ai,Miscellaneous industrial/commercial combustion,MSW,Energy Supply,Industry,Industry
1A1ai,Power stations,Burning oil,Energy Supply,Electricity supply,Electricity supply
1A1ai,Power stations,Coal,Energy Supply,Electricity supply,Electricity supply
1A1ai,Power stations,Fuel oil,Energy Supply,Electricity supply,Electricity supply
1A1ai,Power stations,Gas oil,Energy Supply,Electricity supply,Electricity supply
1A1ai,Power stations,Landfill gas,Energy Supply,Electricity supply,Electricity supply
1A1ai,Power stations,Liquid bio-fuels,Energy Supply,Electricity supply,Electricity supply
1A1ai,Power stations,MSW,Energy Supply,Waste,Energy from waste
1A1ai,Power stations,Natural gas,Energy Supply,Electricity supply,Electricity supply
1A1ai,Power stations,Orimulsion,Energy Supply,Electricity supply,Electricity supply
1A1ai,Power stations,Petroleum coke,Energy Supply,Electricity supply,Electricity supply
1A1ai,Power stations,Poultry litter,Energy Supply,Electricity supply,Electricity supply
1A1ai,Power stations,Scrap tyres,Energy Supply,Electricity supply,Electricity supply
1A1ai,Power stations,Sewage gas,Energy Supply,Electricity supply,Electricity supply
1A1ai,Power stations,Sour gas,Energy Supply,Electricity supply,Electricity supply
1A1ai,Power stations,Straw,Energy Supply,Electricity supply,Electricity supply
1A1ai,Power stations,Waste oils,Energy Supply,Electricity supply,Electricity supply
1A1ai,Power stations,Wood,Energy Supply,Electricity supply,Electricity supply
1A1b,Refineries - combustion,Fuel oil,Energy Supply,Fuel supply,Fossil fuel supply
1A1b,Refineries - combustion,Gas oil,Energy Supply,Fuel supply,Fossil fuel supply
1A1b,Refineries - combustion,LPG,Energy Supply,Fuel supply,Fossil fuel supply
1A1b,Refineries - combustion,Naphtha,Energy Supply,Fuel supply,Fossil fuel supply
1A1b,Refineries - combustion,Natural gas,Energy Supply,Fuel supply,Fossil fuel supply
1A1b,Refineries - combustion,OPG,Energy Supply,Fuel supply,Fossil fuel supply
1A1b,Refineries - combustion,Petrol,Energy Supply,Fuel supply,Fossil fuel supply
1A1b,Refineries - combustion,Petroleum coke,Energy Supply,Fuel supply,Fossil fuel supply
1A1b,Refineries - combustion,Refinery miscellaneous,Energy Supply,Fuel supply,Fossil fuel supply
1A1ci,Coke production,Blast furnace gas,Energy Supply,Industry,Industry
1A1ci,Coke production,Coke oven gas,Energy Supply,Industry,Industry
1A1ci,Coke production,Colliery methane,Energy Supply,Industry,Industry
1A1ci,Coke production,Natural gas,Energy Supply,Industry,Industry
1A1cii,Gas terminal: fuel combustion,Gas oil,Energy Supply,Fuel supply,Fossil fuel supply
