scenario,country,sector,variable,variable_unit,year,emissions_MtCO2e
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2025,47.04431879231096
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2026,46.55971791769261
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2027,44.91961444729086
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2028,43.08119057340664
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2029,41.07062128163186
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2030,39.2427769198489
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2031,37.46240643359306
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2032,35.79183758704355
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2033,34.30362690434493
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2034,32.97088627962682
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2035,31.88870113630172
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2036,31.30582464597946
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2037,30.85804840096916
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2038,30.32960145784595
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2039,29.78846069070192
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2040,29.24745296064348
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2041,28.9372814742712
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2042,28.52645035035353
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2043,28.22708686768913
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2044,27.92657749070909
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2045,27.62604337338858
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2046,27.37569122099639
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2047,27.12588924398758
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2048,26.87912952128276
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2049,26.63070678801907
Balanced Pathway,United Kingdom,Agriculture,Emissions: direct emissions total,MtCO2e,2050,26.38987159012214
Balanced Pathway,United Kingdom,Aviation,Emissions: direct emissions total,MtCO2e,2025,36.73092377300829
Balanced Pathway,United Kingdom,Aviation,Emissions: direct emissions total,MtCO2e,2026,35.82018879855322
Balanced Pathway,United Kingdom,Aviation,Emissions: direct emissions total,MtCO2e,2027,35.00742550819214
Balanced Pathway,United Kingdom,Aviation,Emissions: direct emissions total,MtCO2e,2028,34.00178520559492
Balanced Pathway,United Kingdom,Aviation,Emissions: direct emissions total,MtCO2e,2029,33.67295409587235
