year,DESNZ_EEP_2024_excl_IAS_MtCO2e,DESNZ_EEP_2024_inc_IAS_MtCO2e
1990,810.709255012242,834.356590479365
1991,819.232835965868,842.456647743761
1992,797.97541675564,823.042893431072
1993,778.360752029278,804.435460355682
1994,765.820753611057,792.157660272504
1995,759.200161760264,787.218444791921
1996,779.071811500093,808.891923283265
1997,754.348439372073,786.47143153029
1998,752.428843510785,787.53222450171
1999,724.319757328424,759.195275715284
2000,724.257464453897,761.172934035596
2001,726.755864661624,763.550794034655
2002,705.612849652062,740.719362643962
2003,711.601901472662,746.930906955178
2004,707.60547351919,746.83423123169
2005,699.294547450512,741.023336227459
2006,692.796653693202,735.971608345291
2007,679.406078155204,722.469097040419
2008,657.988301472381,703.768666657802
2009,601.307348285844,645.571656510618
2010,615.79060353948,658.019591295758
2011,570.584923743447,613.68241437905
2012,586.959104018413,628.016064411359
2013,573.861966129161,615.898203069532
2014,530.7190857089,572.120629104817
2015,510.227946398818,551.716616891593
2016,483.47136563197,526.094114882392
2017,471.309792398738,516.21004666222
2018,464.279466519817,508.753673346381
2019,447.515616271279,490.887574309471
2020,407.975238765153,429.209366703841
2021,422.475570116601,442.472504000404
2022,404.682267986786,439.340307408585
2023,384.972556090126,424.447439900085
2024,371.759487375243,414.090535568666
2025,363.150082905754,405.820995243062
2026,355.265423903811,397.416990031367
2027,348.907854929247,390.880239750524
2028,341.183234512029,382.206754528308
2029,334.358922448123,375.630214182967
2030,327.713982125617,367.969033106317
2031,320.429867491574,360.604304620317
2032,314.955861329269,354.77074071117
2033,310.284565982226,349.397720465852
2034,306.574221395534,345.16629831218
2035,303.407283864246,341.791617002469
2036,297.418389970588,335.196531395245
2037,293.90633610234,330.917241585146
2038,291.15243711487,327.987068330021
2039,288.652384870752,325.512140100051
2040,287.413756420828,323.989470167022
2041,286.724428652939,323.776781126681
2042,286.391613291685,323.97357566512
2043,286.393949878503,323.901389448084
2044,286.915035053593,324.118217849626
2045,286.723568765024,323.462890301364
2046,287.564608785598,323.81264938185
2047,288.295980261299,323.831292585978
2048,289.231830318914,324.962883302709
2049,289.25697485373,323.861631639471
2050,290.244906276984,324.291346256252
