year,UK_final_GHG_Table_1_1_total_MtCO2e,DESNZ_Annex_A_excl_IAS_MtCO2e,difference_official_minus_DESNZ_MtCO2e
1990,810.7116741548467,810.709255012242,0.002419142604708213
1991,819.2328359658692,819.232835965868,1.1368683772161603e-12
1992,797.975416755641,797.97541675564,1.0231815394945443e-12
1993,778.360752029278,778.360752029278,0.0
1994,765.8207536110577,765.820753611057,7.958078640513122e-13
1995,759.2001617602629,759.200161760264,-1.1368683772161603e-12
1996,779.0718115000925,779.071811500093,-4.547473508864641e-13
1997,754.3484393720739,754.348439372073,9.094947017729282e-13
1998,752.4288435107854,752.428843510785,4.547473508864641e-13
1999,724.3197573284239,724.319757328424,-1.1368683772161603e-13
2000,724.2574644538971,724.257464453897,1.1368683772161603e-13
2001,726.7558646616234,726.755864661624,-5.684341886080801e-13
2002,705.6128496520615,705.612849652062,-4.547473508864641e-13
2003,711.6019014726625,711.601901472662,4.547473508864641e-13
2004,707.6054735191898,707.60547351919,-2.2737367544323206e-13
2005,699.2945474505117,699.294547450512,-3.410605131648481e-13
2006,692.7966536932005,692.796653693202,-1.4779288903810084e-12
2007,679.4060781552034,679.406078155204,-5.684341886080801e-13
2008,657.9883014723811,657.988301472381,1.1368683772161603e-13
2009,601.3073482858441,601.307348285844,1.1368683772161603e-13
2010,615.7906035394811,615.79060353948,1.1368683772161603e-12
2011,570.5849237434471,570.584923743447,1.1368683772161603e-13
2012,586.9591040184125,586.959104018413,-4.547473508864641e-13
2013,573.8619661291611,573.861966129161,1.1368683772161603e-13
2014,530.7190857088995,530.7190857089,-5.684341886080801e-13
2015,510.22794639881874,510.227946398818,7.389644451905042e-13
2016,483.4713656319701,483.47136563197,1.1368683772161603e-13
2017,471.3097923987383,471.309792398738,2.8421709430404007e-13
2018,464.2794665198165,464.279466519817,-5.115907697472721e-13
2019,447.5156162712793,447.515616271279,3.410605131648481e-13
2020,407.9752387651526,407.975238765153,-3.979039320256561e-13
2021,422.47557011660115,422.475570116601,1.7053025658242404e-13
2022,404.68226798678575,404.682267986786,-2.2737367544323206e-13
2023,384.9725560901256,384.972556090126,-3.979039320256561e-13
