pathway,year,gb_gas_imports_by_volume,source_sheet
Holistic Transition,2024,40.71,EA.17
Holistic Transition,2030,39.010000000000005,EA.17
Holistic Transition,2040,23.97,EA.17
Holistic Transition,2050,8.32,EA.17
Electric Engagement,2024,40.71,EA.17
Electric Engagement,2030,40.510000000000005,EA.17
Electric Engagement,2040,28.0,EA.17
Electric Engagement,2050,14.07,EA.17
Hydrogen Evolution,2024,40.71,EA.17
Hydrogen Evolution,2030,40.230000000000004,EA.17
Hydrogen Evolution,2040,38.730000000000004,EA.17
Hydrogen Evolution,2050,29.339999999999996,EA.17
Falling Behind,2024,40.71,EA.17
Falling Behind,2030,49.93,EA.17
Falling Behind,2040,51.87,EA.17
Falling Behind,2050,52.73,EA.17
