technology,lcoe_2025_prices_gbp_per_MWh,carbon_cost_component_gbp_per_MWh,source_sheet
Gas CCS,301.0118226837312,1.8765239515468282,EA.03
Hydrogen CCHT,231.3232615851262,0.0,EA.03
Gas CCGT,149.33583760823876,41.758982773883325,EA.03
Gas CCGT,66.24778794851161,41.75898277388329,EA.03
Gas CCS,104.1399580127904,1.8765239515468282,EA.03
Nuclear,177.3629514947326,0.0,EA.03
Gas CCGT,57.015782430764155,41.758982773883304,EA.03
2035 Floating Offshore Wind,108.7173637570666,0.0,EA.03
2025 Floating Offshore Wind,174.46035355326703,0.0,EA.03
2035 Onshore Wind,62.6783551701964,0.0,EA.03
2025 Onshore Wind,69.42934712894049,0.0,EA.03
2035 Fixed Offshore Wind,53.21986517310137,0.0,EA.03
2025 Fixed Offshore Wind,70.08838703177615,0.0,EA.03
2035 Solar PV,30.773499539390183,0.0,EA.03
2025 Solar PV,45.921005213077315,0.0,EA.03
