indicator_id,theme,source_sheet,pathway,year,value,unit,method_note,value_rounded
neso_heat_pump_electricity_demand,Buildings and heat electrification,ED7,Electric Engagement,2050,59.601,TWh,"Annual ASHP + GSHP electricity demand summed across residential, commercial and industrial sectors.",59.6
neso_heat_pump_electricity_demand,Buildings and heat electrification,ED7,Falling Behind,2050,30.938000000000002,TWh,"Annual ASHP + GSHP electricity demand summed across residential, commercial and industrial sectors.",30.94
neso_heat_pump_electricity_demand,Buildings and heat electrification,ED7,Holistic Transition,2050,54.778999999999996,TWh,"Annual ASHP + GSHP electricity demand summed across residential, commercial and industrial sectors.",54.78
neso_heat_pump_electricity_demand,Buildings and heat electrification,ED7,Hydrogen Evolution,2050,49.076,TWh,"Annual ASHP + GSHP electricity demand summed across residential, commercial and industrial sectors.",49.08
neso_heat_pump_electricity_demand,Buildings and heat electrification,ED7,Ten Year Forecast,2050,,TWh,"Annual ASHP + GSHP electricity demand summed across residential, commercial and industrial sectors.",
neso_total_electricity_demand,Electricity demand,ED1,Electric Engagement,2050,784.736,TWh,"GBFES System Demand: Total, annual fiscal demand; converted from GWh to TWh.",784.74
neso_total_electricity_demand,Electricity demand,ED1,Falling Behind,2050,558.75,TWh,"GBFES System Demand: Total, annual fiscal demand; converted from GWh to TWh.",558.75
neso_total_electricity_demand,Electricity demand,ED1,Holistic Transition,2050,705.2230000000001,TWh,"GBFES System Demand: Total, annual fiscal demand; converted from GWh to TWh.",705.22
neso_total_electricity_demand,Electricity demand,ED1,Hydrogen Evolution,2050,797.12,TWh,"GBFES System Demand: Total, annual fiscal demand; converted from GWh to TWh.",797.12
neso_total_electricity_demand,Electricity demand,ED1,Ten Year Forecast,2050,,TWh,"GBFES System Demand: Total, annual fiscal demand; converted from GWh to TWh.",
neso_total_emissions,Emissions,WS2,Electric Engagement,2050,-1.933207016434831,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",-1.93
neso_total_emissions,Emissions,WS2,Falling Behind,2050,187.0019736209977,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",187.0
neso_total_emissions,Emissions,WS2,Holistic Transition,2050,-5.5139002384095255,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",-5.51
neso_total_emissions,Emissions,WS2,Hydrogen Evolution,2050,-0.0484816822259555,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",-0.05
neso_total_emissions,Emissions,WS2,Ten Year Forecast,2050,,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",
neso_hydrogen_dispatchable_capacity,Hydrogen and dispatchable power,FLX1,Electric Engagement,2050,27.5201275,GW,Dispatchable electricity supply capacity for hydrogen generation.,27.52
neso_hydrogen_dispatchable_capacity,Hydrogen and dispatchable power,FLX1,Falling Behind,2050,0.0,GW,Dispatchable electricity supply capacity for hydrogen generation.,0.0
neso_hydrogen_dispatchable_capacity,Hydrogen and dispatchable power,FLX1,Holistic Transition,2050,26.0818942,GW,Dispatchable electricity supply capacity for hydrogen generation.,26.08
neso_hydrogen_dispatchable_capacity,Hydrogen and dispatchable power,FLX1,Hydrogen Evolution,2050,29.963227,GW,Dispatchable electricity supply capacity for hydrogen generation.,29.96
neso_hydrogen_dispatchable_capacity,Hydrogen and dispatchable power,FLX1,Ten Year Forecast,2050,,GW,Dispatchable electricity supply capacity for hydrogen generation.,
neso_power_intensity_excluding_beccs,Power-sector decarbonisation,ES1,Electric Engagement,2050,1.464933214,gCO2/kWh,CO2 intensity of generation excluding BECCS. This is easier to interpret than net intensity when BECCS produces negative values.,1.46
neso_power_intensity_excluding_beccs,Power-sector decarbonisation,ES1,Falling Behind,2050,30.91350409,gCO2/kWh,CO2 intensity of generation excluding BECCS. This is easier to interpret than net intensity when BECCS produces negative values.,30.91
neso_power_intensity_excluding_beccs,Power-sector decarbonisation,ES1,Holistic Transition,2050,1.22780844,gCO2/kWh,CO2 intensity of generation excluding BECCS. This is easier to interpret than net intensity when BECCS produces negative values.,1.23
neso_power_intensity_excluding_beccs,Power-sector decarbonisation,ES1,Hydrogen Evolution,2050,4.315329826,gCO2/kWh,CO2 intensity of generation excluding BECCS. This is easier to interpret than net intensity when BECCS produces negative values.,4.32
neso_power_intensity_excluding_beccs,Power-sector decarbonisation,ES1,Ten Year Forecast,2050,,gCO2/kWh,CO2 intensity of generation excluding BECCS. This is easier to interpret than net intensity when BECCS produces negative values.,
neso_electric_vehicle_stock,Road transport electrification,ED5,Electric Engagement,2050,41.269768,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,41.27
neso_electric_vehicle_stock,Road transport electrification,ED5,Falling Behind,2050,42.715638,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,42.72
neso_electric_vehicle_stock,Road transport electrification,ED5,Holistic Transition,2050,39.355685,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,39.36
neso_electric_vehicle_stock,Road transport electrification,ED5,Hydrogen Evolution,2050,43.593689,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,43.59
neso_electric_vehicle_stock,Road transport electrification,ED5,Ten Year Forecast,2050,,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,
neso_storage_connection_capacity,System flexibility,FLX1,Electric Engagement,2050,57.023014,GW,"Electricity storage connection capacity, total excluding vehicle-to-grid.",57.02
neso_storage_connection_capacity,System flexibility,FLX1,Falling Behind,2050,30.69427,GW,"Electricity storage connection capacity, total excluding vehicle-to-grid.",30.69
neso_storage_connection_capacity,System flexibility,FLX1,Holistic Transition,2050,55.845479,GW,"Electricity storage connection capacity, total excluding vehicle-to-grid.",55.85
neso_storage_connection_capacity,System flexibility,FLX1,Hydrogen Evolution,2050,44.386731,GW,"Electricity storage connection capacity, total excluding vehicle-to-grid.",44.39
neso_storage_connection_capacity,System flexibility,FLX1,Ten Year Forecast,2050,,GW,"Electricity storage connection capacity, total excluding vehicle-to-grid.",
