indicator_id,theme,source_sheet,pathway,year,value,unit,method_note,value_rounded
neso_total_emissions,Emissions,WS2,Electric Engagement,2023,424.4474399000851,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",424.45
neso_total_emissions,Emissions,WS2,Falling Behind,2023,424.4474399000851,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",424.45
neso_total_emissions,Emissions,WS2,Holistic Transition,2023,424.4474399000851,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",424.45
neso_total_emissions,Emissions,WS2,Hydrogen Evolution,2023,424.4474399000851,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",424.45
neso_total_emissions,Emissions,WS2,Ten Year Forecast,2023,424.4474399000851,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",424.45
neso_total_emissions,Emissions,WS2,Electric Engagement,2024,405.5227249761046,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",405.52
neso_total_emissions,Emissions,WS2,Falling Behind,2024,407.920043562946,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",407.92
neso_total_emissions,Emissions,WS2,Holistic Transition,2024,405.51942780828284,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",405.52
neso_total_emissions,Emissions,WS2,Hydrogen Evolution,2024,405.31163708941995,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",405.31
neso_total_emissions,Emissions,WS2,Ten Year Forecast,2024,406.8534035272895,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",406.85
neso_total_emissions,Emissions,WS2,Electric Engagement,2025,382.42945636921945,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",382.43
neso_total_emissions,Emissions,WS2,Falling Behind,2025,390.60641968653925,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",390.61
neso_total_emissions,Emissions,WS2,Holistic Transition,2025,381.47118437790215,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",381.47
neso_total_emissions,Emissions,WS2,Hydrogen Evolution,2025,382.39198341942216,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",382.39
neso_total_emissions,Emissions,WS2,Ten Year Forecast,2025,386.12831042127317,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",386.13
neso_total_emissions,Emissions,WS2,Electric Engagement,2026,370.9842248515362,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",370.98
neso_total_emissions,Emissions,WS2,Falling Behind,2026,386.42439273004857,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",386.42
neso_total_emissions,Emissions,WS2,Holistic Transition,2026,369.0267153364244,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",369.03
neso_total_emissions,Emissions,WS2,Hydrogen Evolution,2026,371.3458109079231,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",371.35
neso_total_emissions,Emissions,WS2,Ten Year Forecast,2026,379.678543255755,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",379.68
neso_total_emissions,Emissions,WS2,Electric Engagement,2027,358.69020955757554,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",358.69
neso_total_emissions,Emissions,WS2,Falling Behind,2027,385.99158728683483,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",385.99
neso_total_emissions,Emissions,WS2,Holistic Transition,2027,356.0173587264663,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",356.02
neso_total_emissions,Emissions,WS2,Hydrogen Evolution,2027,359.74447895406104,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",359.74
neso_total_emissions,Emissions,WS2,Ten Year Forecast,2027,375.0581351849375,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",375.06
neso_total_emissions,Emissions,WS2,Electric Engagement,2028,345.887558403296,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",345.89
neso_total_emissions,Emissions,WS2,Falling Behind,2028,383.40645755500555,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",383.41
neso_total_emissions,Emissions,WS2,Holistic Transition,2028,342.2470555520712,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",342.25
neso_total_emissions,Emissions,WS2,Hydrogen Evolution,2028,346.8828251854727,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",346.88
neso_total_emissions,Emissions,WS2,Ten Year Forecast,2028,369.8708108430083,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",369.87
neso_total_emissions,Emissions,WS2,Electric Engagement,2029,331.8960459001852,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",331.9
neso_total_emissions,Emissions,WS2,Falling Behind,2029,376.5708584513832,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",376.57
neso_total_emissions,Emissions,WS2,Holistic Transition,2029,324.5531393910981,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",324.55
neso_total_emissions,Emissions,WS2,Hydrogen Evolution,2029,329.4452721094349,MtCO2e,"Sum of WS2 sector rows by pathway, including removals/offset categories where present. Used as supporting external pathway context, not as the main CCC benchmark.",329.45
