indicator_id,theme,source_sheet,pathway,year,value,unit,method_note,value_rounded
neso_electric_vehicle_stock,Road transport electrification,ED5,Electric Engagement,2030,11.224874999999999,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,11.22
neso_electric_vehicle_stock,Road transport electrification,ED5,Electric Engagement,2035,26.109322,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,26.11
neso_electric_vehicle_stock,Road transport electrification,ED5,Electric Engagement,2040,38.318045,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,38.32
neso_electric_vehicle_stock,Road transport electrification,ED5,Electric Engagement,2050,41.269768,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,41.27
neso_electric_vehicle_stock,Road transport electrification,ED5,Falling Behind,2030,8.612985,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,8.61
neso_electric_vehicle_stock,Road transport electrification,ED5,Falling Behind,2035,18.661732,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,18.66
neso_electric_vehicle_stock,Road transport electrification,ED5,Falling Behind,2040,31.542509,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,31.54
neso_electric_vehicle_stock,Road transport electrification,ED5,Falling Behind,2050,42.715638,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,42.72
neso_electric_vehicle_stock,Road transport electrification,ED5,Holistic Transition,2030,11.320749,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,11.32
neso_electric_vehicle_stock,Road transport electrification,ED5,Holistic Transition,2035,26.259235,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,26.26
neso_electric_vehicle_stock,Road transport electrification,ED5,Holistic Transition,2040,38.351053,million vehicles,Total electric vehicle stock across vehicle classes; converted from number of vehicles to million vehicles.,38.35
