metric,value,unit,interpretation,source
"Solar PV LCOE change, 2025 to 2035",-32.98600630234777,%,Solar PV becomes cheaper in NESO's 2035 cost assumptions.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.03"
"Fixed offshore wind LCOE change, 2025 to 2035",-24.067499015246362,%,Fixed offshore wind becomes cheaper in NESO's 2035 cost assumptions.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.03"
"Onshore wind LCOE change, 2025 to 2035",-9.723542331755631,%,Onshore wind becomes cheaper in NESO's 2035 cost assumptions.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.03"
"Floating offshore wind LCOE change, 2025 to 2035",-37.68362751605194,%,Floating offshore wind becomes cheaper in NESO's 2035 cost assumptions.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.03"
2035 Solar PV LCOE relative to baseload Gas CCGT,-46.02634879779244,%,A negative value means solar PV is cheaper on this plant-level LCOE measure.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.03"
Holistic Transition 2050 fossil price shock exposure vs 2022 shock,83.63486224445008,% reduction,Holistic Transition leaves much lower GDP-scale exposure to a 2022-style fossil fuel price shock.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.16"
Falling Behind 2050 fossil price shock exposure vs Holistic Transition 2050,3.780423821773044,ratio,Falling Behind remains materially more exposed to fossil price volatility than Holistic Transition.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.16"
"Holistic Transition gas import change, 2024 to 2050",-79.56276099238517,%,This is a proxy for changing exposure to international gas markets.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.17"
"Electric Engagement gas import change, 2024 to 2050",-65.43846720707442,%,This is a proxy for changing exposure to international gas markets.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.17"
"Hydrogen Evolution gas import change, 2024 to 2050",-27.9292557111275,%,This is a proxy for changing exposure to international gas markets.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.17"
"Falling Behind gas import change, 2024 to 2050",29.52591500859738,%,This is a proxy for changing exposure to international gas markets.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.17"
Falling Behind gas imports relative to Holistic Transition in 2050,6.337740384615384,ratio,"In 2050, Falling Behind uses a much higher imported-gas volume than Holistic Transition.","NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.17"
Electric Engagement 2050 total energy cost sensitivity range,52.642196727472566,"GBP bn, 2025 prices",High-minus-low sensitivity range from NESO's capex/fuel-cost sensitivity cases.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.12"
Falling Behind 2050 total energy cost sensitivity range,76.47986468607317,"GBP bn, 2025 prices",High-minus-low sensitivity range from NESO's capex/fuel-cost sensitivity cases.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.12"
Holistic Transition 2050 total energy cost sensitivity range,47.807453698922245,"GBP bn, 2025 prices",High-minus-low sensitivity range from NESO's capex/fuel-cost sensitivity cases.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.12"
Hydrogen Evolution 2050 total energy cost sensitivity range,89.63617506462305,"GBP bn, 2025 prices",High-minus-low sensitivity range from NESO's capex/fuel-cost sensitivity cases.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.12"
Base-case 2050 total energy cost: Falling Behind minus Holistic Transition,26.34729449222752,"GBP bn, 2025 prices",Central-cost comparison: Falling Behind is more costly than Holistic Transition in 2050 in this NESO table.,"NESO FES 2025 Economics Tables and Graphs Data Workbook, EA.12"
DESNZ current-policy baseline including IAS estimated delay after 2050,148.49291235108967,years,"No finite crossing under the 2040-2050 trend; the 2030-2050 extrapolation is a mechanical stress-test, not a forecast.",Local DESNZ/CCC/NESO target-year analysis
DESNZ current-policy baseline excluding IAS estimated delay after 2050,154.92504135917898,years,"No finite crossing under the 2040-2050 trend; the 2030-2050 extrapolation is a mechanical stress-test, not a forecast.",Local DESNZ/CCC/NESO target-year analysis
Falling Behind estimated delay after 2050,25.571404258284478,years,Missed-pathway estimate based on extending the 2040-2050 average annual reduction rate.,Local DESNZ/CCC/NESO target-year analysis
