pathway,case,year,total_energy_cost_gbp_bn_2025_prices,source_sheet
Holistic Transition,Base case,2025,298.68402863031804,EA.12
Holistic Transition,Base case,2026,316.4421276487229,EA.12
Holistic Transition,Base case,2027,330.42827341592624,EA.12
Holistic Transition,Base case,2028,342.6673330703358,EA.12
Holistic Transition,Base case,2029,354.21051696316295,EA.12
Holistic Transition,Base case,2030,340.48203033882425,EA.12
Holistic Transition,Base case,2031,340.4571571817785,EA.12
Holistic Transition,Base case,2032,334.8208764851455,EA.12
Holistic Transition,Base case,2033,323.1120713271442,EA.12
Holistic Transition,Base case,2034,311.73798015690494,EA.12
Holistic Transition,Base case,2035,294.87028721003134,EA.12
Holistic Transition,Base case,2036,292.79803661191414,EA.12
Holistic Transition,Base case,2037,291.2845294520221,EA.12
Holistic Transition,Base case,2038,287.89694898112896,EA.12
Holistic Transition,Base case,2039,288.8087811980376,EA.12
Holistic Transition,Base case,2040,283.173347548541,EA.12
Holistic Transition,Base case,2041,279.98730670518194,EA.12
Holistic Transition,Base case,2042,272.0267446650738,EA.12
Holistic Transition,Base case,2043,265.84262770096484,EA.12
Holistic Transition,Base case,2044,263.31310052124684,EA.12
Holistic Transition,Base case,2045,258.02870768825454,EA.12
Holistic Transition,Base case,2046,253.65288088891919,EA.12
Holistic Transition,Base case,2047,246.79129051003693,EA.12
Holistic Transition,Base case,2048,242.1199120260557,EA.12
Holistic Transition,Base case,2049,238.06329742497567,EA.12
Holistic Transition,Base case,2050,222.4534006613455,EA.12
Holistic Transition,Low case,2025,246.26589418216122,EA.12
Holistic Transition,Low case,2026,264.8639916131926,EA.12
Holistic Transition,Low case,2027,273.8948433078265,EA.12
Holistic Transition,Low case,2028,284.12758180633654,EA.12
Holistic Transition,Low case,2029,295.7982296714219,EA.12
Holistic Transition,Low case,2030,282.8563315796471,EA.12
Holistic Transition,Low case,2031,282.85553970878493,EA.12
Holistic Transition,Low case,2032,279.8871612802252,EA.12
Holistic Transition,Low case,2033,269.3214436909608,EA.12
Holistic Transition,Low case,2034,260.7760644043148,EA.12
Holistic Transition,Low case,2035,243.9906892367557,EA.12
Holistic Transition,Low case,2036,241.78883209739502,EA.12
Holistic Transition,Low case,2037,241.76799558283844,EA.12
Holistic Transition,Low case,2038,239.22340894401674,EA.12
Holistic Transition,Low case,2039,241.50256917548987,EA.12
Holistic Transition,Low case,2040,237.42199461454206,EA.12
Holistic Transition,Low case,2041,235.15836665349505,EA.12
Holistic Transition,Low case,2042,229.14191434522874,EA.12
Holistic Transition,Low case,2043,224.38775546013642,EA.12
Holistic Transition,Low case,2044,222.8950257085529,EA.12
Holistic Transition,Low case,2045,218.99852188261394,EA.12
Holistic Transition,Low case,2046,216.17904273452245,EA.12
Holistic Transition,Low case,2047,211.6318941987421,EA.12
Holistic Transition,Low case,2048,208.55616931584015,EA.12
Holistic Transition,Low case,2049,206.6151034122281,EA.12
Holistic Transition,Low case,2050,194.02957272430044,EA.12
Holistic Transition,High case,2025,359.83524286740123,EA.12
Holistic Transition,High case,2026,357.7787390339968,EA.12
Holistic Transition,High case,2027,376.68716500083207,EA.12
Holistic Transition,High case,2028,389.93463191236015,EA.12
Holistic Transition,High case,2029,403.3385646284156,EA.12
Holistic Transition,High case,2030,390.2791081442493,EA.12
Holistic Transition,High case,2031,391.86631819408194,EA.12
Holistic Transition,High case,2032,385.1830179372176,EA.12
Holistic Transition,High case,2033,373.48917075671915,EA.12
Holistic Transition,High case,2034,359.2529967044833,EA.12
Holistic Transition,High case,2035,342.100430118993,EA.12
Holistic Transition,High case,2036,339.48527205903343,EA.12
Holistic Transition,High case,2037,335.49986239304604,EA.12
Holistic Transition,High case,2038,330.01002107624214,EA.12
Holistic Transition,High case,2039,328.5049168517341,EA.12
Holistic Transition,High case,2040,320.96161178486926,EA.12
Holistic Transition,High case,2041,316.3283225484339,EA.12
Holistic Transition,High case,2042,305.83073315052235,EA.12
Holistic Transition,High case,2043,297.7374737308593,EA.12
Holistic Transition,High case,2044,293.6713982637883,EA.12
Holistic Transition,High case,2045,286.57964148259623,EA.12
Holistic Transition,High case,2046,280.6540462736817,EA.12
Holistic Transition,High case,2047,272.10837852607835,EA.12
Holistic Transition,High case,2048,266.0082428645069,EA.12
Holistic Transition,High case,2049,259.8776178269436,EA.12
Holistic Transition,High case,2050,241.83702642322268,EA.12
Hydrogen Evolution,Base case,2025,296.35926935158955,EA.12
Hydrogen Evolution,Base case,2026,316.4804440159677,EA.12
Hydrogen Evolution,Base case,2027,321.14205024201635,EA.12
