year,historical_total_territorial_MtCO2e,data_status
1990,790.824096885605,final/inventory-consistent
1991,800.562403436984,final/inventory-consistent
1992,780.372663290636,final/inventory-consistent
1993,761.35306258493,final/inventory-consistent
1994,748.650617843698,final/inventory-consistent
1995,742.697737291881,final/inventory-consistent
1996,763.519297639739,final/inventory-consistent
1997,739.700058369523,final/inventory-consistent
1998,738.83986090373,final/inventory-consistent
1999,710.738637841513,final/inventory-consistent
2000,712.255082274913,final/inventory-consistent
2001,716.327009234797,final/inventory-consistent
2002,694.853950018925,final/inventory-consistent
2003,703.033454191025,final/inventory-consistent
2004,699.443673721677,final/inventory-consistent
2005,692.303496350924,final/inventory-consistent
2006,688.345056432731,final/inventory-consistent
2007,674.846562518942,final/inventory-consistent
2008,652.675948841047,final/inventory-consistent
2009,596.916848527752,final/inventory-consistent
2010,612.013686126411,final/inventory-consistent
2011,567.772103046363,final/inventory-consistent
2012,585.091964993645,final/inventory-consistent
2013,573.026965833214,final/inventory-consistent
2014,530.670991010586,final/inventory-consistent
2015,510.692216786867,final/inventory-consistent
2016,483.211614918629,final/inventory-consistent
2017,471.821974176587,final/inventory-consistent
2018,464.054219798798,final/inventory-consistent
2019,447.513592986062,final/inventory-consistent
2020,407.536085476739,final/inventory-consistent
2021,422.192907171705,final/inventory-consistent
2022,403.967534062926,final/inventory-consistent
2023,383.934828391493,final/inventory-consistent
2024,373.400251224181,final/inventory-consistent
2025,366.583172504636,provisional
