mini_scenario_id,quadrant_id,scenario_name,mini_scenario_label,uk_policy_delivery,external_conditions,domestic_delivery_score,external_shift,default_removals_credit_available_MtCO2e,post_2050_reduction_rate_MtCO2e_per_year_for_stress_test,gross_2050_before_offsets_MtCO2e,net_2050_after_default_offsets_MtCO2e,indicative_delay_years_after_2050,indicative_target_year,target_status,method_note
U1-1,U1,Aligned transition,credible,High,Supportive,0.75,0.1,50,10.881010487061245,133.0890555219198,83.08905552191979,7.6361525081445425,2057.6361525081447,Moderate miss: residual 70-150 MtCO2e,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
U1-2,U1,Aligned transition,strong,High,Supportive,0.85,0.1,50,10.881010487061245,102.63308848890749,52.63308848890749,4.837150791417231,2054.837150791417,Near miss: residual <= 70 MtCO2e,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
U1-3,U1,Aligned transition,front-loaded,High,Supportive,0.95,0.1,50,10.881010487061245,75.16505094738113,25.165050947381133,2.3127494433816813,2052.3127494433816,Near miss: residual <= 70 MtCO2e,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
U2-1,U2,Domestic delivery under external constraints,credible-but-costly,High,Constrained,0.65,-0.1,30,9.09697189143504,198.57967161633894,168.57967161633894,18.531405134389797,2068.53140513439,Large miss: residual > 150 MtCO2e,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
U2-2,U2,Domestic delivery under external constraints,strong-but-constrained,High,Constrained,0.75,-0.1,30,9.09697189143504,168.12370458332663,138.12370458332663,15.183481517995295,2065.1834815179955,Moderate miss: residual 70-150 MtCO2e,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
U2-3,U2,Domestic delivery under external constraints,front-loaded-domestic,High,Constrained,0.85,-0.1,30,9.09697189143504,137.66773755031429,107.66773755031429,11.835557901600792,2061.8355579016006,Moderate miss: residual 70-150 MtCO2e,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
U3-1,U3,Weak delivery despite supportive conditions,partial-delivery,Low,Supportive,0.3,0.1,30,7.312933295808833,270.1409071704753,240.14090717047532,32.83783639980747,2082.8378363998077,Large miss: residual > 150 MtCO2e,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
U3-2,U3,Weak delivery despite supportive conditions,uneven-delivery,Low,Supportive,0.4,0.1,30,7.312933295808833,239.68494013746295,209.68494013746295,28.67316460518476,2078.673164605185,Large miss: residual > 150 MtCO2e,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
U3-3,U3,Weak delivery despite supportive conditions,late-catch-up,Low,Supportive,0.5,0.1,30,7.312933295808833,209.22897310445063,179.22897310445063,24.508492810562053,2074.508492810562,Large miss: residual > 150 MtCO2e,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
U4-1,U4,Delayed transition risk,delayed,Low,Constrained,0.15,-0.1,10,6.215993301437508,350.85950678140057,340.85950678140057,54.83588708220994,2104.83588708221,Large miss: residual > 150 MtCO2e,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
U4-2,U4,Delayed transition risk,fragmented,Low,Constrained,0.25,-0.1,10,6.215993301437508,320.40353974838825,310.40353974838825,49.93627320618323,2099.936273206183,Large miss: residual > 150 MtCO2e,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
U4-3,U4,Delayed transition risk,late-and-costly,Low,Constrained,0.35,-0.1,10,6.215993301437508,289.947572715376,279.947572715376,45.036659330156525,2095.0366593301565,Large miss: residual > 150 MtCO2e,"Stylised mini-scenario; delay is a mechanical stress-test, not a forecast."
