sector_a,sector_b,dependency_profile_similarity,sector_a_2050_residual_MtCO2e,sector_b_2050_residual_MtCO2e,combined_2050_residual_MtCO2e
Buildings and product uses,Domestic Transport,1.0,84.5503891046146,49.8833690620126,134.4337581666272
Agriculture,LULUCF,0.9647638212377322,38.2005567333275,4.35862189668962,42.55917863001712
Agriculture,Waste,0.960768922830523,38.2005567333275,11.6812776690764,49.8818344024039
Industry,Fuel supply,0.9467292624062573,47.3748288570278,13.2401066474921,60.6149355045199
Waste,LULUCF,0.9128709291752769,11.6812776690764,4.35862189668962,16.03989956576602
Buildings and product uses,Electricity supply,0.8908708063747479,84.5503891046146,40.9557563067436,125.5061454113582
Domestic Transport,Electricity supply,0.8908708063747479,49.8833690620126,40.9557563067436,90.8391253687562
Electricity supply,Fuel supply,0.8888888888888888,40.9557563067436,13.2401066474921,54.1958629542357
Industry,Electricity supply,0.8606629658238704,47.3748288570278,40.9557563067436,88.3305851637714
Industry,IAS,0.8593378488473195,47.3748288570278,34.0464399792679,81.4212688362957
